ID Immagine	Testo Naturale	Testo Generato	Correzione Testo Generato	Error Type	Language	image_activity	image_object	image_context	Processed Text	Translated Text	gender_label	old_ID_img
912b224c-fc10-42ed-8585-07b6e6a7ac2d	"
#مهرجان_قمم_الدولي للفنون الأدائية الجبلية.. فنون محلية وعالمية تعيشون فيها أجواء مميزة لا تُنسى ✨

📍| عسير

🗓️| 20 - 27 يناير

#شتانا_يفوز"	a young girl wearing a hat on top of a sign	a girl wearing a hat in front of an advertisement	Evaluation Error	ar	not_analyzed	not_analyzed	culture	مهرجان قمم الدولي للفنون الأدائية الجبلية فنون محلية وعالمية تعيشون أجواء مميزة نسى عسير 20 27 يناير شتانا يفوز	International Summary Festival for Mountain Performance Arts Local and International Arts Lived a distinctive atmosphere forgotten January 27 Janna Shatana wins	mixed	e250124VisitSaudi.ar_img_0.png
5aa1e1d4-bdcc-472f-8e47-1aa395488a40	"
من كل مكان.. ولهدف واحد 🏁🌎
الوعد 10 فبراير 🏃🏻‍♂️

سجل الآن في ‫#ماراثون_الرياض 2024 👏"	a collage of photos of a woman and a man	a collage of photos of a woman and a man	No Error	ar	not_analyzed	not_analyzed	city	مكان ولهدف واحد الوعد 10 فبراير سجل ماراثون الرياض 2024	Place and one goal for the promise of February 10, the Riyadh Marathon 2024 registered	mixed	e250124VisitSaudi.ar_img_1.png
5e7e4206-d9f3-4824-96bd-b6bdae7c361a	"
اكتشفوا عالماً من الحيوانات النادرة والطبيعة مع أطفالكم بغابة البوليفارد في #بوليفارد_وورلد! 🌳🐾

#شتاء_السعودية
#موسم_الرياض"	a woman standing next to a group of birds	a crowd standing beind a peacock	Recognition Error	ar	not_analyzed	not_analyzed	not_analyzed	اكتشفوا عالما الحيوانات النادرة والطبيعة أطفالكم بغابة البوليفارد بوليفارد وورلد شتاء السعودية موسم الرياض	Discover the world of rare animal and nature your children in the Bolivard Bolivard World Winter in Saudi Arabia, Riyadh season	No_human	e250124VisitSaudi.ar_img_2.png
13206039-cc0c-4833-a60e-de69099a6656	"
جرّب متعة اللحظات مع العائلة 🤩
واستمتع في تجربة قطار بروكوميلا بـ #آسيا_الصغرى 🎢

للمزيد عبر موقع روح السعودية

#شتاء_السعودية
#تقويم_فعاليات_جدة"	a crowd of people at a carnival	children on a toy train	Recognition Error	ar	not_analyzed	not_analyzed	city	جر متعة اللحظات العائلة واستمتع تجربة قطار بروكوميلا بـ آسيا الصغرى للمزيد عبر موقع روح السعودية شتاء السعودية تقويم فعاليات جدة	Draw fun for the moments of the family and enjoy the experience of the brocomela	mixed	e250124VisitSaudi.ar_img_3.png
26548a7a-0e85-40fe-a20f-38f6cef98107	"
استعد لرحلة الرعب في بوليفارد وورلد! 🧟‍♂️
واكتشف الحقيقة في فندق الرعب بمنطقة إيطاليا☠️

#شتاء_السعودية
#موسم_الرياض"	a crowd of people walking down a street at night	a crowd of people walking down a street at night	No Error	ar	not_analyzed	not_analyzed	city	استعد لرحلة الرعب بوليفارد وورلد واكتشف الحقيقة فندق الرعب بمنطقة إيطاليا شتاء السعودية موسم الرياض	Prepare for the horror journey Bolivard World and discover the truth	mixed	e250124VisitSaudi.ar_img_4.png
cd7d4880-e6bf-4e04-9d6c-5a498c6bda78	"
#شتاء_السعودية غير في #موسم_العرمة! ❄️
استمتعوا بلحظات ممتعة بين التجارب المتنوعة والأجواء الطبيعية المدهشة 🤩⛰️"	a bird flying in the sky over a desert	a drone flying in the sky over a desert	Evaluation Error	ar	not_analyzed	not_analyzed	not_analyzed	شتاء السعودية موسم العرمة استمتعوا بلحظات ممتعة التجارب المتنوعة والأجواء الطبيعية المدهشة	The winter of Saudi Arabia, the ethnic season, enjoy the fun moments of various experiences and amazing natural atmosphere	No_human	e250124VisitSaudi.ar_img_5.png
55cdeb33-2f66-4965-8373-a05246db3467	"
اكتشف عالم ألعاب الأركيد وعيش لحظات ممتعة مع عائلتك في #وندر_جاردن 🎮👨‍👩‍👧‍👦

#شتاء_السعودية
#موسم_الرياض"	a laptop computer sitting on top of a chair	video games	Recognition Error	ar	not_analyzed	not_analyzed	not_analyzed	اكتشف عالم ألعاب الأركيد وعيش لحظات ممتعة عائلتك وندر جاردن شتاء السعودية موسم الرياض	Discover the world of arcade games and live your family's enjoyable moments	No_human	e250124VisitSaudi.ar_img_6.png
292916d2-8763-422a-97d7-9e2c725ffae3	"
شجرة الطريق إلى ينبع 🏁

‫#داكار_في_السعودية‬
‫#شتاء_السعودية"	a tree in the middle of a field with a sky background	paths forming the shape of a tree on a field	Recognition Error	ar	not_analyzed	not_analyzed	not_analyzed	شجرة الطريق ينبع داكار السعودية شتاء السعودية	The road tree stems Dakar Saudi Arabia in Saudi Arabia	No_human	e250124VisitSaudi.ar_img_7.png
a1fe65e3-ea33-46e2-aa98-d9e954166502	"
استمتعوا بمشاهدة الدلافين في بوليفارد وورلد مع عروض ممتعة لكل أفراد العائلة! 🐬👨‍👩‍👧‍👦

#شتاء_السعودية
#موسم_الرياض"	a man riding a wave on top of a surfboard	a child on a raft and two dolphin trainers	Recognition Error	ar	not_analyzed	not_analyzed	city	استمتعوا بمشاهدة الدلافين بوليفارد وورلد عروض ممتعة أفراد العائلة شتاء السعودية موسم الرياض	Enjoy watching the dolphins Bolivard World	mixed	e250124VisitSaudi.ar_img_8.png
f1bf0a5b-da75-4326-bd43-9c718c516494	"
ليالي الشتاء ما مثلك ليالي! ❄️
في #موسم_الدرعية استمتعوا بأجواء شتوية مذهلة وفعاليات مميزة 🎆

للمزيد عبر موقع روح السعودية

#شتاء_السعودية"	a painting of a building with trees	gazebo in a garden with trees	Evaluation Error	ar	not_analyzed	not_analyzed	not_analyzed	ليالي الشتاء ليالي موسم الدرعية استمتعوا بأجواء شتوية مذهلة وفعاليات مميزة للمزيد عبر موقع روح السعودية شتاء السعودية	Winter Nights Nights Diriyah season enjoy an amazing winter atmosphere and distinctive events for more via the Saudi Spirit website in Saudi Arabia	No_human	e250124VisitSaudi.ar_img_9.png
